feature,cluster,mean,variance,min,max
free_flow_time,global,3.323060411956935,3.911706856710009,0.1512598992080633,12.359599700181578
total_length,global,2591.3916696653946,2237075.970512797,184.8690194929996,9669.76716777893
mean_speed,global,39.96381859207987,42.817415888471466,20.015999999999995,64.03768421052632
speed_std,global,8.773310687283388,18.111892687039994,0.0,29.57929684669018
speed_range,global,24.914372775278707,231.3960411012305,0.0,79.99199999999999
pct_high_speed,global,0.5166891591171365,0.08715010723398063,0.0,1.0
pct_paved,global,0.6223804960831524,0.092803755933604,0.0,1.0
pct_unpaved,global,4.720968563008024e-05,3.1552178509069817e-06,0.0,0.0788934683323032
pct_motorway,global,0.0,0.0,0.0,0.0
pct_trunk,global,0.0,0.0,0.0,0.0
pct_primary,global,0.20380331697125068,0.051066895471130566,0.0,1.0
pct_secondary,global,0.05612972363109636,0.015462424574304448,0.0,1.0
pct_tertiary,global,0.03370164145965771,0.006267895705574951,0.0,1.0
pct_unclassified,global,0.0076421664336587085,0.0013678868204683057,0.0,0.6148174890960496
pct_residential,global,0.6815938339571981,0.07453289089872292,0.0,1.0
pct_lit,global,0.13336813228667818,0.029001526322222745,0.0,1.0
lane_changes_per_km,global,1.107620182523016,1.720749951677067,0.0,14.215372431006331
priority_changes_per_km,global,8.061057032588703,57.594732043386756,0.0,73.49164950056362
yield_priority_changes_per_km,global,0.600674142231853,0.35732596547694284,0.0,6.229482080277906
traffic_lights_per_km,global,0.4804211264073769,0.7842059120294577,0.0,6.493953064382902
bridges_per_km,global,0.3575214704801085,0.44304239143410545,0.0,5.572243075839794
tunnels_per_km,global,0.010724027102319242,0.007638184952292145,0.0,1.7430184509488544
bearing_std,global,91.50418746569537,996.558000719482,1.6086151584191417,162.64318572797467
turns_per_km,global,5.192385366329773,5.026592875045838,0.0,24.16543923216788
mean_circuity,global,2.2822647556963513,3.4576319805058144,1.0006908222484765,70.63274133002461
edge_length_std,global,62.71354601486037,480.9624339014748,6.823412780125856,235.78448022550964
edges_per_km,global,17.75315979204933,31.348415759152573,4.373516258232439,57.11831091239681
free_flow_time,0,5.015208113624236,3.1882938269242995,0.9424825941895836,12.359599700181578
total_length,0,3984.3769689912715,1717576.379388129,1075.4708562753676,9669.76716777893
mean_speed,0,42.656720517911516,19.272887722655767,27.813073170731705,64.03768421052632
speed_std,0,11.458886885779556,11.29720285706957,0.0,29.57929684669018
speed_range,0,36.29989166224111,247.3429776290643,0.0,79.99199999999999
pct_high_speed,0,0.6069039220166993,0.03055871598684628,0.0703405879004679,1.0
pct_paved,0,0.7267014461692637,0.03880565812925285,0.0,1.0
pct_unpaved,0,1.479765322470032e-05,4.123215286248247e-07,0.0,0.0278639810221107
pct_motorway,0,0.0,0.0,0.0,0.0
pct_trunk,0,0.0,0.0,0.0,0.0
pct_primary,0,0.32078546405132674,0.04352969616286279,0.0,1.0
pct_secondary,0,0.08690364082625587,0.020438751514225285,0.0,0.8603216736053888
pct_tertiary,0,0.06366210581572297,0.007761832499663716,0.0,0.6148973366145543
pct_unclassified,0,0.007171234735070866,0.0012838824478111454,0.0,0.6148174890960496
pct_residential,0,0.49910579275045996,0.047092690864125014,0.0,1.0
pct_lit,0,0.14236718599221204,0.01964282673779141,0.0,0.6982313028531538
lane_changes_per_km,0,1.1926040231057755,0.8579536143192037,0.0,6.182948481005253
priority_changes_per_km,0,8.448600328792786,16.667626236515886,0.0,28.96366818288121
yield_priority_changes_per_km,0,0.6585047699488812,0.13351974174268408,0.0,2.0688334416343723
traffic_lights_per_km,0,0.8502174331484087,0.9031451361942368,0.0,4.763881444105568
bridges_per_km,0,0.81831715008399,0.5401007011928762,0.0,4.649126446174736
tunnels_per_km,0,0.02911946392679675,0.020211341016667182,0.0,1.7430184509488544
bearing_std,0,96.24849644159737,1258.8542094175623,21.30097664017708,162.64318572797467
turns_per_km,0,4.105639045641094,1.4166689215876194,0.7312700260914017,7.81325109040705
mean_circuity,0,2.02720977732131,0.5479158643793053,1.046478475295469,8.350902302881668
edge_length_std,0,70.51649036020227,444.83692340921283,38.21780754257128,235.78448022550964
edges_per_km,0,16.141543555908555,11.943445336809127,4.373516258232439,26.699970265909613
free_flow_time,1,1.678167050049779,0.862901967319179,0.1519918406527477,4.815111747782439
total_length,1,1380.2731287904733,335070.4983549279,288.0084095929954,3568.9940453858285
mean_speed,1,40.34953894789843,47.18054881263717,20.015999999999995,55.88682352941177
speed_std,1,8.63732863129588,11.479554564603161,0.0,16.606607526205092
speed_range,1,22.340278745644603,96.65729819197797,0.0,79.99199999999999
pct_high_speed,1,0.5861154030583878,0.08212650218571807,0.0,1.0
pct_paved,1,0.7868656390992368,0.04601156460387461,0.0,1.0
pct_unpaved,1,0.0,0.0,0.0,0.0
pct_motorway,1,0.0,0.0,0.0,0.0
pct_trunk,1,0.0,0.0,0.0,0.0
pct_primary,1,0.30710628906334736,0.05806003881012488,0.0,1.0
pct_secondary,1,0.04227402394133299,0.008568548748193447,0.0,0.6022375437480763
pct_tertiary,1,0.027334137156638245,0.0044579034027122655,0.0,0.639360507725152
pct_unclassified,1,0.0020673109018303206,0.00031144267679738364,0.0,0.3466116243673798
pct_residential,1,0.5823517392343766,0.05835225183840149,0.0,1.0
pct_lit,1,0.18210377624553206,0.04161297876759268,0.0,0.949059106688626
lane_changes_per_km,1,2.531874059057926,3.625314266434357,0.0,14.215372431006331
priority_changes_per_km,1,18.900352828287165,80.44120306347237,0.0,73.49164950056362
yield_priority_changes_per_km,1,1.315691106270784,0.6478055185327848,0.0,6.229482080277906
