feature,cluster,mean,variance,min,max
free_flow_time,global,3.8021853598750774,7.035969629032714,0.1138455382152861,13.714856264108
total_length,global,2708.537361008298,4555534.0824040575,135.25472097850715,12350.008884119816
mean_speed,global,35.865130772150216,37.317511706687824,21.108,57.48840000000001
speed_std,global,9.980279090007413,46.923641676989604,0.0,26.02580142858237
speed_range,global,28.44096774193549,414.0805266021893,0.0,69.98400000000001
pct_high_speed,global,0.260767267498138,0.0706857069839364,0.0,1.0
pct_paved,global,0.28361588159814904,0.07439197683053876,0.0,1.0
pct_unpaved,global,0.004195072753890087,0.001094164588481796,0.0,0.3931218972876508
pct_motorway,global,0.0,0.0,0.0,0.0
pct_trunk,global,0.0,0.0,0.0,0.0
pct_primary,global,0.1578247128940863,0.054611614344714544,0.0,1.0
pct_secondary,global,0.1276820055829711,0.03991524006535975,0.0,0.8579710468145094
pct_tertiary,global,0.13380896712625467,0.03898169550313402,0.0,0.9109016218596068
pct_unclassified,global,0.05660285739023152,0.016498249721846686,0.0,0.5949445180915747
pct_residential,global,0.5164285261558609,0.10195520262158203,0.0,1.0
pct_lit,global,0.0,0.0,0.0,0.0
lane_changes_per_km,global,0.47695673831167323,0.5358287215772645,0.0,5.419591431181159
priority_changes_per_km,global,5.602272164522541,35.68777421351471,0.0,46.06652716503985
yield_priority_changes_per_km,global,0.49145334631283893,0.2844502954841501,0.0,3.279456130958527
traffic_lights_per_km,global,0.36052672778224626,0.4493489689930278,0.0,5.419591431181159
bridges_per_km,global,1.5487821902178978,6.9175584562489165,0.0,15.480367718770545
tunnels_per_km,global,0.0,0.0,0.0,0.0
bearing_std,global,87.80167211419862,608.7877683130196,31.97421930157809,160.98801160800687
turns_per_km,global,4.857518911329474,5.160448912991048,1.0745980692850294,17.987931378498185
mean_circuity,global,2.566850035371719,2.2026054755371383,1.042394562335801,10.008304050721518
edge_length_std,global,102.76685247495281,4928.216305430823,16.490386113437474,379.388945029032
edges_per_km,global,12.925765354747119,28.091003577110353,3.938688467567936,35.97586275699637
free_flow_time,0,2.421410753330845,1.171637917149679,0.1138455382152861,6.422321700458444
total_length,0,1502.4799283182087,403364.60411136696,135.25472097850715,3910.142831091726
mean_speed,0,31.48567373429878,5.756025205622754,29.988,50.00400000000001
speed_std,0,3.1768470541338028,16.16878762107876,0.0,15.117069920173968
speed_range,0,8.943130434782612,125.20624817222463,0.0,50.004000000000005
pct_high_speed,0,0.04185706610889678,0.009630248293481115,0.0,1.0
pct_paved,0,0.09152866426769768,0.01977976306806007,0.0,0.7185498999889666
pct_unpaved,0,0.0,0.0,0.0,0.0
pct_motorway,0,0.0,0.0,0.0,0.0
pct_trunk,0,0.0,0.0,0.0,0.0
pct_primary,0,0.041549685460770674,0.018427815319420983,0.0,1.0
pct_secondary,0,0.00905203586566795,0.0007607411567635377,0.0,0.1711024713683093
pct_tertiary,0,0.15672125197373504,0.06647743175659258,0.0,0.9109016218596068
pct_unclassified,0,0.0017243148527362531,2.4924748607010813e-05,0.0,0.0257442039771106
pct_residential,0,0.7888139216276976,0.0943565258493445,0.0,1.0
pct_lit,0,0.0,0.0,0.0,0.0
lane_changes_per_km,0,0.10336611333134611,0.07203722946873825,0.0,1.4438365360832617
priority_changes_per_km,0,2.1599117078295564,9.42443740806455,0.0,12.283920665769037
yield_priority_changes_per_km,0,0.21200900773537779,0.1408237831387737,0.0,1.5354900832211291
traffic_lights_per_km,0,0.06166788486520125,0.04655392646043748,0.0,1.0651626532748435
bridges_per_km,0,0.38791440855469417,1.009016205482965,0.0,4.070533256906627
tunnels_per_km,0,0.0,0.0,0.0,0.0
bearing_std,0,85.3728397344913,526.9059537740284,31.97421930157809,156.08902716302373
turns_per_km,0,5.680070421397583,5.0642510888470325,2.0234867918141752,17.987931378498185
mean_circuity,0,2.6026112189267305,2.032245768079365,1.042394562335801,10.008304050721518
edge_length_std,0,85.4853094990862,602.835744106142,16.490386113437474,165.7049174397128
edges_per_km,0,11.916295964005851,16.382663518574336,4.714294976381729,35.97586275699637
free_flow_time,1,5.709141731319298,8.936972068682499,0.5310162099118237,13.714856264108
total_length,1,4395.983474854107,5475507.138200008,636.3083816370637,12350.008884119816
mean_speed,1,41.56038439752554,19.721286949542343,26.30747368421053,57.48840000000001
speed_std,1,16.65069387445159,6.422032519675886,5.393656192742181,26.02580142858237
speed_range,1,47.623344827586216,101.21239423555755,19.98,69.98400000000001
pct_high_speed,1,0.512507822711094,0.036014013883307085,0.0,1.0
pct_paved,1,0.30972150111094937,0.05584266447723995,0.0,0.9975842898183958
pct_unpaved,1,0.008908727796830685,0.0022760468567121616,0.0,0.3931218972876508
pct_motorway,1,0.0,0.0,0.0,0.0
pct_trunk,1,0.0,0.0,0.0,0.0
pct_primary,1,0.10416803649762316,0.030690146620713912,0.0,0.9374533616811136
pct_secondary,1,0.258012855644007,0.056662767213127595,0.0,0.8579710468145094
pct_tertiary,1,0.13291805698375095,0.015221890267728314,0.0,0.4506122825678316
pct_unclassified,1,0.13385842634148967,0.029466811061450753,0.0,0.5949445180915747
pct_residential,1,0.36796622071531127,0.028266313593439892,0.0,0.8259003867142506
pct_lit,1,0.0,0.0,0.0,0.0
lane_changes_per_km,1,0.2516434073289109,0.10282506942972948,0.0,1.923778393147206
priority_changes_per_km,1,4.769519531636091,8.245187587290975,0.352899813948123,26.71660548657746
yield_priority_changes_per_km,1,0.5172549313316815,0.10882896701925208,0.0,3.1431300572444067
traffic_lights_per_km,1,0.16349397760726647,0.07527102322321017,0.0,1.46451390348235
