,ingolstadt_1: clusters,ingolstadt_1: enriched,ingolstadt_2: clusters,ingolstadt_2: enriched,ingolstadt_3: clusters,ingolstadt_3: enriched,ingolstadt_classic_1: enriched,ingolstadt_classic_2: enriched,ingolstadt_classic_3: enriched,ingolstadt_classic_4: enriched,ingolstadt_classic_5: enriched,ingolstadt_classic_6: enriched
free_flow_time,4.451863728811184,4.375917548312911,4.140935557928476,3.8298981393255467,2.601865216271003,2.5594477628846493,2.3516162167316303,2.6066080290494407,2.5912910543368497,2.717820166279396,2.6604868908439436,2.7461281142531
total_length,3605.9565897503726,3549.9550632136747,3447.946556459588,3197.2305687893877,2259.7184831996988,2228.587517856943,2067.698466825005,2234.8794239625618,2217.1104753720847,2304.3268206582293,2288.5491901902296,2334.1135035407538
mean_speed,45.46170091192742,45.324795488530505,46.220081955279824,45.88121767336911,46.88359083005133,46.663280215948134,47.12060937600439,46.68019154727867,46.633701228695415,46.46381488343763,46.65825550712069,46.40622929025298
speed_std,11.557159870026277,11.309191595361797,11.448715481801035,11.559168427333708,10.758872052983417,10.723454160629187,9.91043286761042,10.255249724995185,10.270908811229509,10.48446405554505,10.56518760196581,10.901479505247988
speed_range,36.50597506234415,35.35488614298324,36.262298811544994,35.60599829205808,31.27073356401385,31.19522107813447,28.059447272727276,29.005167733674785,29.042134387351783,30.28963902439025,30.884668085106387,31.692696696696704
pct_high_speed,0.7077402179408497,0.7086346072838791,0.7242376963605861,0.7101262042252865,0.7448883248360699,0.7378479430523922,0.7727353448782279,0.7583070573267613,0.7574269671466648,0.7455158024465873,0.7495613037535882,0.7393478267753582
pct_motorway,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_trunk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_primary,0.1382180979371212,0.11428537807106548,0.12131110903897507,0.12399974260713628,0.15277156477511522,0.15072354392256468,0.15909215909430005,0.14867059464175325,0.1508623977647103,0.16141989030769602,0.16305179083020466,0.1498693024424613
pct_secondary,0.11616530031284356,0.1285077629804015,0.12283478344607292,0.12000381270255005,0.1584536991160074,0.15709699815336514,0.17393905139563196,0.1629662111975185,0.1640694016469237,0.15509092728497456,0.1560969928452054,0.15511208347257666
pct_tertiary,0.19165118367723433,0.18142779004123363,0.21230104182841975,0.19652140511452665,0.20047966967272424,0.1934962160771714,0.2188446865527297,0.21319044659787767,0.20782816777770563,0.1980866105495961,0.1943100987935554,0.1923982428085817
pct_unclassified,0.0657523394911136,0.07770704322749339,0.07699667682277513,0.0822110376191964,0.07247012070063506,0.07759140016998224,0.07586996106215113,0.07658974994527423,0.07639870620949579,0.07835855711453994,0.08050855175569083,0.08185155073237017
pct_residential,0.4404983454643176,0.4448921486615485,0.4201385223070711,0.42775763385365584,0.36047636109872916,0.3654291432744167,0.3027511405054429,0.32238861288019305,0.32404912947045017,0.3357741296176377,0.34452584534998715,0.36186437037720354
lane_changes_per_km,2.9938040336365974,2.84719885009194,3.076679234644409,3.05556297984779,3.3071923052429084,3.304413519614913,3.296540257721432,3.0709583080651823,3.0736535287134292,3.0814403475000134,3.1639423533011386,3.2301359697772445
priority_changes_per_km,6.363393632464217,6.265518274277929,5.9549056418557855,5.963412382839649,5.731602248931237,5.753092009377587,5.1453168194764265,5.441229568702908,5.427051343115498,5.640970792422355,5.590856361322137,5.767876108395668
yield_priority_changes_per_km,1.1958552612682705,1.2034855323112035,1.1715114901274408,1.1626109869347039,1.109244328923033,1.1093208927460108,1.0092657317988671,1.076334727042478,1.068788418400534,1.0735147307088275,1.0701615311991675,1.1202256838857463
