cluster_a,cluster_b,n_route_pairs,n_ods,mean_overlap,std_overlap,min_overlap,max_overlap
0,1,266,266,0.3285587056425946,0.19613967005432115,0.0,0.7857142857142857
0,2,275,275,0.3137377227730116,0.18719423819739278,0.0,0.7692307692307693
0,3,273,273,0.2929809884208727,0.18042877399511156,0.0,0.7857142857142857
1,2,281,281,0.3818462151858305,0.2067543414539796,0.0,0.8235294117647058
1,3,283,283,0.2841571307242845,0.1784584940465848,0.0,0.7
2,3,290,290,0.3109669396564032,0.1919372967791078,0.0,0.8461538461538461
