origins,destinations,path,free_flow_time,total_length,mean_speed,speed_std,speed_range,pct_high_speed,pct_motorway,pct_trunk,pct_primary,pct_secondary,pct_tertiary,pct_unclassified,pct_residential,lane_changes_per_km,priority_changes_per_km,yield_priority_changes_per_km,traffic_lights_per_km,bearing_std,turns_per_km,left_yield_turns_per_km,mean_circuity,edge_length_std,edges_per_km,h3_sequence,cluster
-147985326#0,-31096642#3,"-147985326#0,754955934#1,754955934#2,202796681#2,202796681#3,-147985323,-31645907,-299785639#3,-299785639#2,-299785639#1,-299785639#0,202660905#3,202660905#4,202660905#5,452655710#0,452655710#1,452655710#2,452655710#3,1353677213,31096642#0,31096642#1,31096642#2,31096642#3,31096642#4,-31096642#4,-31096642#3",2.363282625066325,2505.768080589135,61.92138461538461,22.45473381374524,70.02,0.8441129664749984,0.0,0.0,0.2679114491014259,0.0046989778961744,0.4930807317912114,0.0,0.2343088412111881,0.7981584630648567,4.389871546856711,0.7981584630648567,0.0,82.60439474009256,1.5963169261297134,0.3990792315324283,1.857664637783002,58.00638191596479,10.376060019843136,"8a755827105ffff,8a75582710effff,8a75582710cffff,8a75582710dffff,8a7558271777fff,8a7558271757fff,8a755827175ffff,8a7558271667fff,8a7558271647fff,8a755827164ffff,8a755827165ffff,8a75582716f7fff,8a7558271687fff,8a7558271697fff,8a7558273b5ffff,8a7558273a0ffff,8a7558273a1ffff,8a7558273af7fff",3
-207236707#0,321134214,"-207236707#0,207236707#0,207236707#1,207236707#2,207236707#3,207236707#4,1016153890#1,1016153889#0,1016153889#1,39223173#0,39223173#1,-202660905#3,299785639#0,299785639#1,299785639#2,299785639#3,31645907,457847603,457847602#0,321708193,147985329#1,147985329#2,147985329#3,-70576191#2,70576176#0,70576176#1,70576176#2,1055024544,715884243#0,715884243#2,40459868#0,40459868#2,40459868#3,40459868#4,40459868#5,457847606,202969487#0,202969487#1,202969488#0,202969488#1,200536239#0,200536239#1,200536237#0,40459873#0,40459873#2,40459873#3,40459873#4,40459873#5,40459873#6,49263277#0,49263277#1,49263277#2,49263277#3,1335923982#0,1335923982#1,202975215#0,-190555201#9,-190555201#8,-190555201#7,-190555201#6,-190555201#5,-190555192#4,-190555192#3,321134214",4.880643377126856,5845.93732068309,66.87506250000001,23.224449511390848,70.02,0.9155408271130916,0.0,0.0,0.4254947126211393,0.0209637365905766,0.2064191311362951,0.1405703242147575,0.2065520954372314,1.026353802797685,8.895066290913272,0.8552948356647376,0.1710589671329475,88.51849210841569,1.5395307041965276,0.342117934265895,2.050387614362914,145.04980758147676,10.94777389650864,"8a7558246c97fff,8a755827326ffff,8a7558246c87fff,8a7558246ca7fff,8a7558246c17fff,8a755827165ffff,8a755827164ffff,8a7558271647fff,8a7558271667fff,8a755827175ffff,8a7558271757fff,8a7558271707fff,8a7558271727fff,8a75582710d7fff,8a75582710c7fff,8a75582710f7fff,8a75582710e7fff,8a7558271057fff,8a7558271077fff,8a7558271067fff,8a7558271a97fff,8a7558271a9ffff,8a7558271a8ffff,8a7558244c9ffff,8a7558244ccffff,8a7558244187fff,8a7558244017fff,8a755824400ffff,8a755824402ffff,8a7558244147fff,8a7558244167fff,8a75582448dffff,8a75582448d7fff,8a75582448f7fff,8a75582448c7fff",2
-207236707#0,321134214,"-207236707#0,207236707#0,207236707#1,207236707#2,207236707#3,207236707#4,1016153890#1,1016153889#0,1016153889#1,39223173#0,39223173#1,-202660905#3,299785639#0,299785639#1,299785639#2,299785639#3,31645907,457847603,457847602#0,321708193,147985329#1,147985329#2,147985329#3,-70576191#2,70576176#0,70576176#1,-1055024545,321705818#10,715884243#0,715884243#2,40459868#0,40459868#2,40459868#3,40459868#4,40459868#5,457847606,202969487#0,202969487#1,202969488#0,202969488#1,200536239#0,200536239#1,200536237#0,40459873#0,40459873#2,40459873#3,40459873#4,40459873#5,40459873#6,49263277#0,49263277#1,49263277#2,49263277#3,1335923982#0,1335923982#1,202975215#0,-190555201#9,-190555201#8,-190555201#7,-190555201#6,-190555201#5,-190555192#4,-190555192#3,321134214",4.899733849889034,5866.759318348054,66.87506250000001,23.224449511390848,70.02,0.9158405852257412,0.0,0.0,0.4239845688719414,0.0293509916421521,0.2056865190700251,0.1400714193162032,0.2009065010996782,1.0227111211525657,8.863496383322236,0.8522592676271381,0.1704518535254276,92.33474255554415,1.5340666817288484,0.3409037070508552,2.0576906632627865,144.9006269463882,10.908918625627368,"8a7558246c97fff,8a755827326ffff,8a7558246c87fff,8a7558246ca7fff,8a7558246c17fff,8a755827165ffff,8a755827164ffff,8a7558271647fff,8a7558271667fff,8a755827175ffff,8a7558271757fff,8a7558271707fff,8a7558271727fff,8a75582710d7fff,8a75582710c7fff,8a75582710f7fff,8a75582710e7fff,8a7558271057fff,8a755827100ffff,8a7558271077fff,8a7558271067fff,8a7558271a97fff,8a7558271a9ffff,8a7558271a8ffff,8a7558244c9ffff,8a7558244ccffff,8a7558244187fff,8a7558244017fff,8a755824400ffff,8a755824402ffff,8a7558244147fff,8a7558244167fff,8a75582448dffff,8a75582448d7fff,8a75582448f7fff,8a75582448c7fff",1
-207236707#0,321134214,"-207236707#0,207236707#0,207236707#1,207236707#2,207236707#3,207236707#4,1016153890#1,1016153889#0,1016153889#1,39223173#0,39223173#1,-202660905#3,299785639#0,299785639#1,299785639#2,299785639#3,31645907,457847603,457847602#0,457847602#1,147985329#0,147985329#1,147985329#2,147985329#3,-70576191#2,70576176#0,70576176#1,-1055024545,321705818#10,715884243#0,715884243#2,40459868#0,40459868#2,40459868#3,40459868#4,40459868#5,457847606,202969487#0,202969487#1,202969488#0,202969488#1,200536239#0,200536239#1,200536237#0,40459873#0,40459873#2,40459873#3,40459873#4,40459873#5,40459873#6,49263277#0,49263277#1,49263277#2,49263277#3,1335923982#0,1335923982#1,202975215#0,-190555201#9,-190555201#8,-190555201#7,-190555201#6,-190555201#5,-190555192#4,-190555192#3,321134214",4.855299233641233,5850.148913343759,67.07686153846154,23.0996602842153,70.02,0.9156016302888612,0.0,0.0,0.4251883938529552,0.0294343283000176,0.2100974151944011,0.1404691259453561,0.1948107367072698,1.0256149183338636,8.888662625560151,0.854679098611553,0.1709358197223106,92.2636312310966,1.5384223775007957,0.3418716394446212,2.051864776527761,144.05612131844282,11.11082828195019,"8a7558246c97fff,8a755827326ffff,8a7558246c87fff,8a7558246ca7fff,8a7558246c17fff,8a755827165ffff,8a755827164ffff,8a7558271647fff,8a7558271667fff,8a755827175ffff,8a7558271757fff,8a7558271707fff,8a7558271727fff,8a75582710d7fff,8a75582710c7fff,8a75582710f7fff,8a75582710e7fff,8a7558271057fff,8a755827100ffff,8a7558271077fff,8a7558271067fff,8a7558271a97fff,8a7558271a9ffff,8a7558271a8ffff,8a7558244c9ffff,8a7558244ccffff,8a7558244187fff,8a7558244017fff,8a755824400ffff,8a755824402ffff,8a7558244147fff,8a7558244167fff,8a75582448dffff,8a75582448d7fff,8a75582448f7fff,8a75582448c7fff",1
-207236707#0,321134214,"-207236707#0,207236707#0,207236707#1,207236707#2,207236707#3,207236707#4,1016153890#1,1016153889#0,1016153889#1,39223173#0,39223173#1,-202660905#3,299785639#0,299785639#1,299785639#2,299785639#3,31645907,457847603,-40459859,120625216,147985329#0,147985329#1,147985329#2,147985329#3,-70576191#2,70576176#0,70576176#1,-1055024545,321705818#10,715884243#0,715884243#2,40459868#0,40459868#2,40459868#3,40459868#4,40459868#5,457847606,202969487#0,202969487#1,202969488#0,202969488#1,200536239#0,200536239#1,200536237#0,40459873#0,40459873#2,40459873#3,40459873#4,40459873#5,40459873#6,49263277#0,49263277#1,49263277#2,49263277#3,1335923982#0,1335923982#1,202975215#0,-190555201#9,-190555201#8,-190555201#7,-190555201#6,-190555201#5,-190555192#4,-190555192#3,321134214",5.478168340206317,6349.432318265021,66.15415384615383,23.165187653858137,70.02,0.9222382401914448,0.0,0.0,0.3917539861177588,0.0271197793894122,0.1789985792885732,0.1294234292636919,0.2727042259405637,0.9449663685271782,8.189708527235545,0.7874719737726485,0.1574943947545297,92.99138458897144,1.4174495527907671,0.4724831842635891,2.226982033752797,148.20968579653388,10.23713565904443,"8a7558246c97fff,8a755827326ffff,8a7558246c87fff,8a7558246ca7fff,8a7558246c17fff,8a755827165ffff,8a755827164ffff,8a7558271647fff,8a7558271667fff,8a755827175ffff,8a7558271757fff,8a7558271707fff,8a75582717affff,8a7558271727fff,8a75582710d7fff,8a75582710c7fff,8a75582710f7fff,8a75582710e7fff,8a7558271057fff,8a755827100ffff,8a7558271077fff,8a7558271067fff,8a7558271a97fff,8a7558271a9ffff,8a7558271a8ffff,8a7558244c9ffff,8a7558244ccffff,8a7558244187fff,8a7558244017fff,8a755824400ffff,8a755824402ffff,8a7558244147fff,8a7558244167fff,8a75582448dffff,8a75582448d7fff,8a75582448f7fff,8a75582448c7fff",0
-207236707#0,321134214,"-207236707#0,207236707#0,207236707#1,207236707#2,207236707#3,207236707#4,1016153890#1,1016153889#0,1016153889#1,39223173#0,39223173#1,-202660905#3,299785639#0,299785639#1,299785639#2,299785639#3,31645907,457847603,457847602#0,457847602#1,147985329#0,147985329#1,147985329#2,147985329#3,-70576191#2,70576176#0,70576176#1,70576176#2,1055024544,715884243#0,715884243#2,40459868#0,40459868#2,40459868#3,40459868#4,40459868#5,457847606,202969487#0,202969487#1,202969488#0,202969488#1,200536239#0,200536239#1,200536237#0,40459873#0,40459873#2,40459873#3,40459873#4,40459873#5,40459873#6,49263277#0,49263277#1,49263277#2,49263277#3,1335923982#0,1335923982#1,202975215#0,-190555201#9,-190555201#8,-190555201#7,-190555201#6,-190555201#5,-190555192#4,-190555192#3,321134214",4.836208760879054,5829.326915678795,67.07686153846154,23.0996602842153,70.02,0.9153001644965884,0.0,0.0,0.4267071406777669,0.0210234718156223,0.2108478702558296,0.1409708730346413,0.2004506442161397,1.029278351821744,8.920412382455114,0.8577319598514532,0.1715463919702906,88.42531813995777,1.5439175277326158,0.3430927839405813,2.044561727627889,144.20007946660832,11.150515478068892,"8a7558246c97fff,8a755827326ffff,8a7558246c87fff,8a7558246ca7fff,8a7558246c17fff,8a755827165ffff,8a755827164ffff,8a7558271647fff,8a7558271667fff,8a755827175ffff,8a7558271757fff,8a7558271707fff,8a7558271727fff,8a75582710d7fff,8a75582710c7fff,8a75582710f7fff,8a75582710e7fff,8a7558271057fff,8a7558271077fff,8a7558271067fff,8a7558271a97fff,8a7558271a9ffff,8a7558271a8ffff,8a7558244c9ffff,8a7558244ccffff,8a7558244187fff,8a7558244017fff,8a755824400ffff,8a755824402ffff,8a7558244147fff,8a7558244167fff,8a75582448dffff,8a75582448d7fff,8a75582448f7fff,8a75582448c7fff",4
-207236707#0,321134214,"-207236707#0,207236707#0,207236707#1,207236707#2,207236707#3,207236707#4,1016153890#1,1016153889#0,1016153889#1,39223173#0,39223173#1,-202660905#3,299785639#0,299785639#1,299785639#2,299785639#3,31645907,457847603,-40459859,120625216,-457847602#1,321708193,147985329#1,147985329#2,147985329#3,-70576191#2,70576176#0,70576176#1,-1055024545,321705818#10,715884243#0,715884243#2,40459868#0,40459868#2,40459868#3,40459868#4,40459868#5,457847606,202969487#0,202969487#1,202969488#0,202969488#1,200536239#0,200536239#1,200536237#0,40459873#0,40459873#2,40459873#3,40459873#4,40459873#5,40459873#6,49263277#0,49263277#1,49263277#2,49263277#3,1335923982#0,1335923982#1,202975215#0,-190555201#9,-190555201#8,-190555201#7,-190555201#6,-190555201#5,-190555192#4,-190555192#3,321134214",5.531813877546228,6410.818448835744,66.36381818181817,23.04932620467484,70.02,0.9229828398988166,0.0,0.0,0.3880027862459557,0.0268600967401633,0.1807767972671375,0.1281841485710474,0.2761761711756961,0.9359179405696084,10.295097346265692,0.9359179405696084,0.155986323428268,92.92820027629172,1.7158495577109485,0.6239452937130722,2.248512432542835,147.29625958562167,10.295097346265692,"8a7558246c97fff,8a755827326ffff,8a7558246c87fff,8a7558246ca7fff,8a7558246c17fff,8a755827165ffff,8a755827164ffff,8a7558271647fff,8a7558271667fff,8a755827175ffff,8a7558271757fff,8a7558271707fff,8a75582717affff,8a7558271727fff,8a75582710d7fff,8a75582710c7fff,8a75582710f7fff,8a75582710e7fff,8a7558271057fff,8a755827100ffff,8a7558271077fff,8a7558271067fff,8a7558271a97fff,8a7558271a9ffff,8a7558271a8ffff,8a7558244c9ffff,8a7558244ccffff,8a7558244187fff,8a7558244017fff,8a755824400ffff,8a755824402ffff,8a7558244147fff,8a7558244167fff,8a75582448dffff,8a75582448d7fff,8a75582448f7fff,8a75582448c7fff",0
-207236707#0,321134214,"-207236707#0,207236707#0,207236707#1,207236707#2,207236707#3,207236707#4,1016153890#1,1016153889#0,1016153889#1,39223173#0,39223173#1,-202660905#3,299785639#0,299785639#1,299785639#2,299785639#3,31645907,457847603,-40459859,120625216,147985329#0,147985329#1,147985329#2,147985329#3,-70576191#2,70576176#0,70576176#1,70576176#2,1055024544,715884243#0,715884243#2,40459868#0,40459868#2,40459868#3,40459868#4,40459868#5,457847606,202969487#0,202969487#1,202969488#0,202969488#1,200536239#0,200536239#1,200536237#0,40459873#0,40459873#2,40459873#3,40459873#4,40459873#5,40459873#6,49263277#0,49263277#1,49263277#2,49263277#3,1335923982#0,1335923982#1,202975215#0,-190555201#9,-190555201#8,-190555201#7,-190555201#6,-190555201#5,-190555192#4,-190555192#3,321134214",5.459077867444138,6328.610320600057,66.15415384615383,23.165187653858137,70.02,0.9219823933152532,0.0,0.0,0.3930429105689345,0.0193648658879982,0.1795875092133383,0.129849250132003,0.2781554641977258,0.9480754377417728,8.216653793762031,0.7900628647848107,0.1580125729569621,89.50611729613048,1.4221131566126592,0.4740377188708864,2.219678984852925,148.36645816066516,10.270817242202538,"8a7558246c97fff,8a755827326ffff,8a7558246c87fff,8a7558246ca7fff,8a7558246c17fff,8a755827165ffff,8a755827164ffff,8a7558271647fff,8a7558271667fff,8a755827175ffff,8a7558271757fff,8a7558271707fff,8a75582717affff,8a7558271727fff,8a75582710d7fff,8a75582710c7fff,8a75582710f7fff,8a75582710e7fff,8a7558271057fff,8a7558271077fff,8a7558271067fff,8a7558271a97fff,8a7558271a9ffff,8a7558271a8ffff,8a7558244c9ffff,8a7558244ccffff,8a7558244187fff,8a7558244017fff,8a755824400ffff,8a755824402ffff,8a7558244147fff,8a7558244167fff,8a75582448dffff,8a75582448d7fff,8a75582448f7fff,8a75582448c7fff",0
-207236707#0,321134214,"-207236707#0,207236707#0,207236707#1,207236707#2,207236707#3,207236707#4,1016153890#1,1016153889#0,1016153889#1,39223173#0,39223173#1,-202660905#3,299785639#0,299785639#1,299785639#2,299785639#3,31645907,457847603,-40459859,120625216,-457847602#1,321708193,147985329#1,147985329#2,147985329#3,-70576191#2,70576176#0,70576176#1,70576176#2,1055024544,715884243#0,715884243#2,40459868#0,40459868#2,40459868#3,40459868#4,40459868#5,457847606,202969487#0,202969487#1,202969488#0,202969488#1,200536239#0,200536239#1,200536237#0,40459873#0,40459873#2,40459873#3,40459873#4,40459873#5,40459873#6,49263277#0,49263277#1,49263277#2,49263277#3,1335923982#0,1335923982#1,202975215#0,-190555201#9,-190555201#8,-190555201#7,-190555201#6,-190555201#5,-190555192#4,-190555192#3,321134214",5.512723404784049,6389.996451170779,66.36381818181817,23.04932620467484,70.02,0.9227318771416316,0.0,0.0,0.3892671051185792,0.0191788353956546,0.1813658639558814,0.1286018405154213,0.2815863550144634,0.9389676576268952,10.328644233895847,0.9389676576268952,0.1564946096044825,89.56342407091823,1.7214407056493075,0.6259784384179301,2.241209383642963,147.4503880350112,10.328644233895847,"8a7558246c97fff,8a755827326ffff,8a7558246c87fff,8a7558246ca7fff,8a7558246c17fff,8a755827165ffff,8a755827164ffff,8a7558271647fff,8a7558271667fff,8a755827175ffff,8a7558271757fff,8a7558271707fff,8a75582717affff,8a7558271727fff,8a75582710d7fff,8a75582710c7fff,8a75582710f7fff,8a75582710e7fff,8a7558271057fff,8a7558271077fff,8a7558271067fff,8a7558271a97fff,8a7558271a9ffff,8a7558271a8ffff,8a7558244c9ffff,8a7558244ccffff,8a7558244187fff,8a7558244017fff,8a755824400ffff,8a755824402ffff,8a7558244147fff,8a7558244167fff,8a75582448dffff,8a75582448d7fff,8a75582448f7fff,8a75582448c7fff",0
-147969307#2,203162006#1,"-147969307#2,-147969307#1,-147969307#0,-727735142,-727735140#0,711127970#1,711127970#2,1289276657#1,711127969#0,711127969#1,203162021#4,-203162011#6,-203162011#5,-203162011#4,203162012#0,203162012#1,203162012#2,203162012#3,203162012#4,203162006#0,203162006#1",1.0659887383538176,986.850066986828,52.85657142857143,15.212101934221414,50.004000000000005,0.7925011157544396,0.0,0.0,0.0,0.0,0.3719594141852171,0.0,0.6280405858147831,1.0133251579475726,14.186552211266015,1.0133251579475726,0.0,58.893478675998125,2.026650315895145,0.0,2.373827845952863,62.41420427973284,21.279828316899025,"8a7558271d87fff,8a7558271db7fff,8a7558270aeffff,8a7558270adffff,8a755827036ffff,8a7558271cb7fff,8a755827034ffff,8a7558271c97fff,8a7558270267fff",3
