sumo_id,from,to,priority,type,speed,lanes,allow,disallow,osmid,has_traffic_light,surface,bridge,tunnel,lit,bearing,length
-1321667099#3,1512826468,1512826266,10,highway.tertiary,79.992,1,,tram rail_urban rail rail_electric rail_fast ship,1321667099,0,asphalt,,,,278.3212175195834,
-1321667099#4,2130789650,1512826468,10,highway.tertiary,79.992,1,,tram rail_urban rail rail_electric rail_fast ship,1321667099,0,asphalt,,,,278.3212175195834,71.93238740859655
-1321667099#5,2130789383,2130789650,10,highway.tertiary,79.992,1,,tram rail_urban rail rail_electric rail_fast ship,1321667099,0,asphalt,,,,278.3212175195834,132.65288143804074
-1332809428#0,2129468645,2129469009,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,1332809428,0,,,,,37.02645151026799,82.64276703971149
-1332936425,2008944987,195488839,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,1332936425,0,asphalt,,,,249.7434009861609,52.39353887528206
-1332936426,195488839,12331496869,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,1332936426,0,asphalt,,,,354.78854961432904,24.65680797083303
-13513631#2,1738029688,124168255,10,highway.tertiary,79.992,1,,tram rail_urban rail rail_electric rail_fast ship,13513631,1,,,,,79.60986391312461,18.47887771839897
-137390538#0,451721278,3050087374,11,highway.secondary,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,137390538,0,asphalt,,,yes,251.580248997281,40.69675786092435
-137390538#1,11509650066,451721278,11,highway.secondary,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,137390538,0,asphalt,,,yes,251.580248997281,149.91844528118563
-137390626,131850567,131850566,11,highway.secondary,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,137390626,1,asphalt,,,,195.45087931647868,133.03008802107664
-137957779#0,1512711336,427670008,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,137957779,0,,,,,248.55120126401638,69.82122671806033
-137957779#1,1512711501,1512711336,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,137957779,0,,,,,248.55120126401638,84.80417966582573
-137957781#0,1512826222,1512711301,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,137957781,0,,,,,182.0062667615118,53.84260410003475
-137957781#1,5327911444,1512826222,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,137957781,0,,,,,182.0062667615118,21.740949982179224
-137957781#2,10286033846,5327911444,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,137957781,0,,,,,182.0062667615118,
-137957781#3,8021997597,10286033846,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,137957781,0,,,,,182.0062667615118,
-137957781#4,10286033818,8021997597,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,137957781,0,,,,,182.0062667615118,95.52346250126304
-137957781#5,10286033815,10286033818,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,137957781,0,,,,,182.0062667615118,
-137957781#6,10286033812,10286033815,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,137957781,0,,,,,182.0062667615118,11.104057417617511
-137957781#7,1512711399,10286033812,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,137957781,0,,,,,182.0062667615118,20.8206268180948
-137957782#0,8021992731,1512711272,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,137957782,0,,,,,93.61900505833128,81.09433182231814
-137957782#1,4264313300,8021992731,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,137957782,0,,,,,93.61900505833128,65.29202172966916
-137957782#2,2129408356,4264313300,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,137957782,0,,,,,93.61900505833128,45.62226613418276
-137957782#3,4264288694,2129408356,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,137957782,0,,,,,93.61900505833128,57.81724133417658
-137957782#4,1512711406,4264288694,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,137957782,0,,,,,93.61900505833128,32.942434275928505
-137957784#0,1512826314,1512826383,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,137957784,0,,,,,183.53245593243975,115.06352717736189
-137957784#1,1512826330,1512826314,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,137957784,0,,,,,183.53245593243975,
-137957785#0,2130656837,1512711499,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,137957785,0,,,,,302.0416626320031,
-137957785#1,7052414974,2130656837,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,137957785,0,,,,,302.0416626320031,25.829611969520265
-137957785#2,7052469494,7052414974,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,137957785,0,,,,,302.0416626320031,
-137957785#3,7052469488,7052469494,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,137957785,0,,,,,302.0416626320031,
