sumo_id,from,to,priority,type,speed,lanes,allow,disallow,osmid,has_traffic_light,surface,bridge,tunnel,lit,bearing,length
101752971#0,1174807103,1174816324,4,highway.unclassified,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,101752971.0,0,,,,,75.12140108551287,22.40523703528808
101752971#1,1174816324,1843278669,4,highway.unclassified,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,101752971.0,0,,,,,75.12140108551287,22.225966970445036
101752974#0,1174807075,1174807011,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,101752974.0,0,,,,,,48.78929719455629
101752974#1,1174807011,1174807075,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,101752974.0,0,,,,,,92.99904941363393
101752975#0,1174807011,1174816242,4,highway.unclassified,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,101752975.0,0,,,,,48.16289113317925,20.269273488704023
101752975#1,1174816242,1174807102,4,highway.unclassified,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,101752975.0,0,,,,,48.16289113317925,
101752975#2,1174807102,1174807103,4,highway.unclassified,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,101752975.0,0,,,,,48.16289113317925,218.9044092412437
101752976,1174807045,1174807079,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,101752976.0,0,,,,,2.8504517192318066,
101752978,1174807025,1174807050,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,101752978.0,0,,,,,4.687386564189192,
101754276#0,1174876451,1174816295,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,101754276.0,0,,,,,147.58676677107854,
101754276#1,1174816295,1174816326,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,101754276.0,0,,,,,147.58676677107854,
101754278#0,1174816274,1174816243,4,highway.unclassified,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,101754278.0,0,,,,,190.90191761927525,28.155330012380603
101754278#1,1174816243,1174807103,4,highway.unclassified,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,101754278.0,0,,,,,190.90191761927525,20.339137948667577
101754281#0,1174816324,1843278694,4,highway.unclassified,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,101754281.0,0,,,,,357.9438501263943,14.738551656571712
101754281#1,1843278694,603129721,4,highway.unclassified,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,101754281.0,0,,,,,357.9438501263943,
101754282#0,603129721,1843278697,4,highway.unclassified,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,101754282.0,0,,,,,236.43040081028474,
101754282#1,1843278697,1174816243,4,highway.unclassified,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,101754282.0,0,,,,,236.43040081028474,
101765339#0,1174876398,1174876495,3,highway.residential,29.988,1,,tram rail_urban rail rail_electric rail_fast ship,101765339.0,0,,,,,4.514501004654727,19.654517782667945
101765339#1,1174876495,1174876451,3,highway.residential,29.988,1,,tram rail_urban rail rail_electric rail_fast ship,101765339.0,0,,,,,4.514501004654727,81.6897399088206
101765339#2,1174876451,1175009460,3,highway.residential,29.988,1,,tram rail_urban rail rail_electric rail_fast ship,101765339.0,0,,,,,4.514501004654727,
101765339#3,1175009460,4724398125,3,highway.residential,29.988,1,,tram rail_urban rail rail_electric rail_fast ship,101765339.0,0,,,,,4.514501004654727,
101765339#4,4724398125,1174895898,3,highway.residential,29.988,1,,tram rail_urban rail rail_electric rail_fast ship,101765339.0,0,,,,,4.514501004654727,
101765339#5,1174895898,4171369860,3,highway.residential,29.988,1,,tram rail_urban rail rail_electric rail_fast ship,101765339.0,0,,,,,4.514501004654727,
101765339#6,4171369860,1174876456,3,highway.residential,29.988,1,,tram rail_urban rail rail_electric rail_fast ship,101765339.0,0,,,,,4.514501004654727,42.48854955140627
101765343,1174876504,1174876495,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,101765343.0,0,,,,,273.3073767879578,73.01000418333525
101767908#0,1174895762,1174895853,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,101767908.0,0,,,,,116.62175029429639,16.244965728929706
101767908#1,1174895853,1174991677,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,101767908.0,0,,,,,116.62175029429639,31.4608775127209
101767911,1174895929,1174895898,3,highway.residential,29.988,1,,tram rail_urban rail rail_electric rail_fast ship,101767911.0,0,,,,,280.5592562836016,136.97357943130768
101767915#0,1174895797,1174895929,3,highway.residential,29.988,1,,tram rail_urban rail rail_electric rail_fast ship,101767915.0,0,,,,,,24.100518444999448
101767915#1,1174895929,1174895797,3,highway.residential,29.988,1,,tram rail_urban rail rail_electric rail_fast ship,101767915.0,0,,,,,,29.634389925908845
101767922,1174895832,1174991666,3,highway.residential,29.988,1,,tram rail_urban rail rail_electric rail_fast ship,101767922.0,0,,,,,29.206767500558644,154.09040573541716
101767927,1174895895,1174895726,3,highway.residential,29.988,1,,tram rail_urban rail rail_electric rail_fast ship,101767927.0,0,,,,,,152.92734177793153
101784498,1174895853,1174895726,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,101784498.0,0,,,,,242.4731805625537,46.33859409297804
101784499#0,1174895692,1174895762,3,highway.residential,29.988,1,,tram rail_urban rail rail_electric rail_fast ship,101784499.0,0,,,,,272.8774013808437,33.621434307848055
101784499#1,1174895762,1174991666,3,highway.residential,29.988,1,,tram rail_urban rail rail_electric rail_fast ship,101784499.0,0,,,,,272.8774013808437,238.61314495073324
101784793,1174991662,1174991672,3,highway.residential,29.988,1,,tram rail_urban rail rail_electric rail_fast ship,101784793.0,0,,,,,252.53776560962245,127.87299697514803
101786553#1,1175016009,1175016023,3,highway.residential,29.988,1,,tram rail_urban rail rail_electric rail_fast ship,101786553.0,0,,,,,214.2527901119291,
101786553#2,1175016023,1175009463,3,highway.residential,29.988,1,,tram rail_urban rail rail_electric rail_fast ship,101786553.0,0,,,,,214.2527901119291,219.5810303899422
101786554#0,1175009460,1175009466,3,highway.residential,29.988,1,,tram rail_urban rail rail_electric rail_fast ship,101786554.0,0,,,,,318.60532159932757,46.04103425707889
101786554#1,1175009466,1175016019,3,highway.residential,29.988,1,,tram rail_urban rail rail_electric rail_fast ship,101786554.0,0,,,,,318.60532159932757,36.506586040193184
101786554#2,1175016019,1175009475,3,highway.residential,29.988,1,,tram rail_urban rail rail_electric rail_fast ship,101786554.0,0,,,,,318.60532159932757,
101786554#3,1175009475,1175009488,3,highway.residential,29.988,1,,tram rail_urban rail rail_electric rail_fast ship,101786554.0,0,,,,,318.60532159932757,54.782848462059455
101786554#4,1175009488,1175016009,3,highway.residential,29.988,1,,tram rail_urban rail rail_electric rail_fast ship,101786554.0,0,,,,,318.60532159932757,78.50362426437272
101787489,1843278844,1174807080,3,highway.residential,29.988,1,,tram rail_urban rail rail_electric rail_fast ship,101787489.0,0,,,,,161.17648620870168,105.09596758211912
101787490,1175015999,1175016027,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,101787490.0,0,,,,,176.92370499094798,72.21375845578511
101787491#0,1175016019,1175015969,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,101787491.0,0,,,,,117.21413681693751,25.810199420070326
101787491#1,1175015969,1175009475,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,101787491.0,0,,,,,117.21413681693751,28.38047534832101
101787493,1175015955,1175009466,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,101787493.0,0,,,,,277.4607955912737,77.42303250028932
101787495#0,1843278816,1175016027,3,highway.residential,29.988,1,,tram rail_urban rail rail_electric rail_fast ship,101787495.0,0,,,,,223.40756058338906,22.421519151815723
101787495#1,1175016027,1175016023,3,highway.residential,29.988,1,,tram rail_urban rail rail_electric rail_fast ship,101787495.0,0,,,,,223.40756058338906,105.55824334777176
101787498,1175015992,1175016009,3,highway.residential,29.988,1,,tram rail_urban rail rail_electric rail_fast ship,101787498.0,0,,,,,110.74691480263758,72.72017878446064
102036177,1174991672,1178035607,3,highway.residential,29.988,1,,tram rail_urban rail rail_electric rail_fast ship,102036177.0,0,,,,,355.1252174383328,27.928584848708788
102037779,1178045775,1178045758,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,102037779.0,0,,,,,97.43968919168886,36.22069105232408
102037781,1178045786,1178045782,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,102037781.0,0,,,,,310.86869065237875,
1039894314#0,9575197729,9575197739,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,1039894314.0,0,,,,,69.67314986650952,61.027773107589965
1039894314#1,9575197739,9575197733,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,1039894314.0,0,,,,,69.67314986650952,61.46021853652626
1047409997,1173023875,1161513024,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,1047409997.0,0,asphalt,,,,293.3083522740723,15.86479568192772
1047412911,9631288164,9631288166,12,highway.primary,50.004000000000005,2,,tram rail_urban rail rail_electric rail_fast ship,1047412911.0,0,asphalt,,,,73.8618678149797,
1047412912#0,9631288172,3017281177,12,highway.primary,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,1047412912.0,0,asphalt,,,,249.0927160577075,76.4522803249175
1047412912#1,3017281177,9631288173,12,highway.primary,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,1047412912.0,0,asphalt,,,,249.0927160577075,85.02228220579987
1047412913,9631288172,7814605309,12,highway.primary,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,1047412913.0,0,asphalt,,,,73.27744604720165,
1047412914,9631288166,9631288172,12,highway.primary,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,1047412914.0,0,asphalt,,,,72.25214941121041,76.27111779484525
1047412915,9631288173,9631288164,12,highway.primary,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,1047412915.0,0,asphalt,,,,73.8618678149797,41.01515520955053
110035897#0,1258043058,1809293932,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,110035897.0,0,,,,,33.7581187648125,
