sumo_id,from,to,priority,type,speed,lanes,allow,disallow,has_traffic_light,type_clean,length,bearing,start_x,start_y,end_x,end_y
-57392435#2,713880934,10822663471,3,highway.residential,10.008,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,34.05060628548316,54.70881304662316,2951.35,4193.48,2979.14,4213.15
-57392454#0,713881221,267219135,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,178.22112232147822,89.03078473476893,2631.92,4418.18,2809.25,4421.18
-57392454#1,370507252,713881221,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,165.70282892689366,55.60693425579768,2496.31,4325.35,2631.92,4418.18
-57392456,713881439,713881589,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,140.3958428068084,88.15081066361734,567.99,2201.59,708.3,2206.12
-57392457#0,713881141,713881107,3,highway.residential,10.008,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,77.92646084610817,248.95773803699382,3103.07,4159.72,3030.34,4131.74
-57392457#1,713880873,713881141,3,highway.residential,10.008,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,45.581860427147674,250.17368540581867,3145.95,4175.18,3103.07,4159.72
-57392472#0,7740101760,262459784,4,highway.unclassified,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,0,unclassified,242.48783819150182,18.334838063184463,1124.3,2227.4,1200.02,2455.89
-57392472#1,713881168,7740101760,4,highway.unclassified,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,0,unclassified,118.17601403677882,21.93513548058803,1080.61,2118.91,1124.3,2227.4
-57392472#2,713880956,713881168,4,highway.unclassified,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,0,unclassified,475.6209300855827,51.22768594588263,711.66,1822.56,1080.61,2118.91
-57392472#3,713881660,713880956,4,highway.unclassified,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,0,unclassified,38.2107210086383,53.8138763044027,680.82,1800.0,711.66,1822.56
-57392478#0,1937603289,713880876,4,highway.unclassified,79.992,1,,tram rail_urban rail rail_electric rail_fast ship,0,unclassified,43.98205088442324,292.34328889658076,2342.5,2213.29,2301.82,2230.01
-57392486,370505317,713881697,3,highway.residential,10.008,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,86.43584673039315,242.68788692658956,3084.76,4308.55,3007.96,4268.89
-57392488,713881761,713880856,3,highway.residential,29.988,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,114.96918675195545,152.8031098313918,2985.02,4073.64,3037.29,3971.92
-57392508#0,7840703572,713881801,4,highway.unclassified,29.988,1,,tram rail_urban rail rail_electric rail_fast ship,0,unclassified,24.43589368122247,15.475161711817236,2751.95,3667.54,2758.47,3691.09
-57392508#1,713881694,7840703572,4,highway.unclassified,29.988,1,,tram rail_urban rail rail_electric rail_fast ship,0,unclassified,78.8034976308501,8.472829312010617,2740.35,3589.67,2751.95,3667.54
-57392508#2,713881279,713881694,4,highway.unclassified,29.988,1,,tram rail_urban rail rail_electric rail_fast ship,0,unclassified,177.6748025091096,355.9349365020539,2752.74,3415.33,2740.35,3589.67
-57392508#3,713881246,713881279,4,highway.unclassified,29.988,1,,tram rail_urban rail rail_electric rail_fast ship,0,unclassified,310.2948905043231,335.62807602164327,2874.17,3147.29,2752.74,3415.33
-57392520,713881305,713881695,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,99.10311231225609,294.6244412269021,582.88,1586.3,492.84,1627.57
