sumo_id,from,to,priority,type,speed,lanes,allow,disallow,has_traffic_light,type_clean,length,bearing,start_x,start_y,end_x,end_y
1210082682#9,275595187,275595189,10,highway.tertiary,79.992,2,,tram rail_urban rail rail_electric rail_fast ship container cable_car subway aircraft wheelchair scooter drone,0,tertiary,18.999942457060918,56.06326273823697,5599.1,4271.12,5614.6,4281.55
1210840088#1,303305532,273113109,4,highway.unclassified,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship container cable_car subway aircraft wheelchair scooter drone,0,unclassified,156.18110280522933,221.34744671415308,1071.27,3927.91,968.1,3810.67
1210840089,273115509,303305532,4,highway.unclassified,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship container cable_car subway aircraft wheelchair scooter drone,0,unclassified,95.5011738260706,271.13910318663477,1157.27,3926.2,1071.27,3927.91
1211108253#1,12111509650,11220621126,2,highway.living_street,10.008,1,,tram rail_urban rail rail_electric rail_fast ship container cable_car subway aircraft wheelchair scooter drone,0,living_street,21.056037259280515,98.77129671332006,3666.6,2790.46,3678.59,2788.61
1211108253#10,11221260811,11221260807,2,highway.living_street,10.008,1,,tram rail_urban rail rail_electric rail_fast ship container cable_car subway aircraft wheelchair scooter drone,0,living_street,1.4616771189286677,214.12494175199564,3821.12,2812.56,3820.3,2811.35
1211108253#11,11221260807,11221260810,2,highway.living_street,10.008,1,,tram rail_urban rail rail_electric rail_fast ship container cable_car subway aircraft wheelchair scooter drone,0,living_street,1.3296992141081307,209.2638645985475,3820.3,2811.35,3819.65,2810.19
1211108253#12,11221260810,11221260805,2,highway.living_street,10.008,1,,tram rail_urban rail rail_electric rail_fast ship container cable_car subway aircraft wheelchair scooter drone,0,living_street,1.2459534501736758,198.72578784527894,3819.65,2810.19,3819.25,2809.01
1211108253#13,11221260805,11221260808,2,highway.living_street,10.008,1,,tram rail_urban rail rail_electric rail_fast ship container cable_car subway aircraft wheelchair scooter drone,0,living_street,1.1531695452101807,191.5048153262586,3819.25,2809.01,3819.02,2807.88
1211108253#14,11221260808,11221260806,2,highway.living_street,10.008,1,,tram rail_urban rail rail_electric rail_fast ship container cable_car subway aircraft wheelchair scooter drone,0,living_street,1.1315917991927302,183.03939956892387,3819.02,2807.88,3818.96,2806.75
1211108253#15,11221260806,11221260809,2,highway.living_street,10.008,1,,tram rail_urban rail rail_electric rail_fast ship container cable_car subway aircraft wheelchair scooter drone,0,living_street,1.1734564329365604,175.60129464499767,3818.96,2806.75,3819.05,2805.58
