sumo_id,from,to,priority,type,speed,lanes,allow,disallow,osmid,has_traffic_light,surface,bridge,tunnel,lit,bearing,length
6620914#2,3894983795,3894983794,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship container cable_car subway aircraft wheelchair scooter drone,6620914.0,0,,,,,223.9744121289933,
6620914#3,3894983794,53368899,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship container cable_car subway aircraft wheelchair scooter drone,6620914.0,0,,,,,223.9744121289933,
6620917,53368914,53368953,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship container cable_car subway aircraft wheelchair scooter drone,6620917.0,0,,,,,168.70187080790518,
6620920#1,53368953,3894983782,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship container cable_car subway aircraft wheelchair scooter drone,6620920.0,0,,,,,186.17923453573425,
6620920#2,3894983782,3894983794,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship container cable_car subway aircraft wheelchair scooter drone,6620920.0,0,,,,,186.17923453573425,89.33796037993824
6620926#0,53368973,53370935,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship container cable_car subway aircraft wheelchair scooter drone,6620926.0,0,,,,,42.44243036149092,261.4390751923888
6620926#1,53370935,8285073332,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship container cable_car subway aircraft wheelchair scooter drone,6620926.0,0,,,,,42.44243036149092,84.34506325387947
6620926#2,8285073332,11094181927,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship container cable_car subway aircraft wheelchair scooter drone,6620926.0,0,,,,,42.44243036149092,115.02396434198303
6620926#3,11094181927,53371129,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship container cable_car subway aircraft wheelchair scooter drone,6620926.0,0,,,,,42.44243036149092,115.03909663856412
6620930,53371804,53371859,1,highway.service,20.016,1,pedestrian delivery bicycle,,6620930.0,0,,,,,19.065988849045336,169.49779919467016
6620940#0,53377151,13056019472,11,highway.secondary,100.00800000000001,1,,tram rail_urban rail rail_electric rail_fast ship container cable_car subway aircraft wheelchair scooter drone,6620940.0,0,asphalt,,,,237.10150898909808,265.898799129487
6620940#1,13056019472,53377080,11,highway.secondary,100.00800000000001,1,,tram rail_urban rail rail_electric rail_fast ship container cable_car subway aircraft wheelchair scooter drone,6620940.0,0,asphalt,,,,237.10150898909808,236.39323383379323
6620940#2,53377080,2369811940,11,highway.secondary,100.00800000000001,1,,tram rail_urban rail rail_electric rail_fast ship container cable_car subway aircraft wheelchair scooter drone,6620940.0,0,asphalt,,,,237.10150898909808,1042.064793248442
6620940#3,2369811940,12887001365,11,highway.secondary,100.00800000000001,1,,tram rail_urban rail rail_electric rail_fast ship container cable_car subway aircraft wheelchair scooter drone,6620940.0,0,asphalt,,,,237.10150898909808,174.36181443971634
662478636,6201973328,52288665,1,highway.service,20.016,1,pedestrian delivery bicycle,,662478636.0,0,,,,,92.24901059977546,121.64050222528304
662478666,6201973477,52297650,1,highway.service,20.016,1,pedestrian delivery bicycle,,662478666.0,0,,,,,235.4563302385846,140.340396381524
664710835,6221883895,6221883891,1,highway.service,20.016,1,pedestrian delivery bicycle,,664710835.0,0,,,,,23.508895236630195,99.64555479347695
664711727#0,1933912160,10094939631,1,highway.track,20.016,1,pedestrian motorcycle moped bicycle,,664711727.0,0,,,,,286.4809357876958,10.70370945844164
664711727#1,10094939631,6221893834,1,highway.track,20.016,1,pedestrian motorcycle moped bicycle,,664711727.0,0,,,,,286.4809357876958,23.79967309454895
664715483#0,625052,12216938726,1,highway.service,20.016,1,pedestrian delivery bicycle,,664715483.0,0,,,,,323.00057704960534,
664715483#1,12216938726,6221923360,1,highway.service,20.016,1,pedestrian delivery bicycle,,664715483.0,0,,,,,323.00057704960534,40.31833804052552
664715484#0,6221923364,12216938727,1,highway.service,20.016,1,pedestrian delivery bicycle,,664715484.0,0,,,,,130.96257768604667,
664715484#1,12216938727,6221923362,1,highway.service,20.016,1,pedestrian delivery bicycle,,664715484.0,0,,,,,130.96257768604667,25.532050346820526
664719119,11476756914,51448940,11,highway.secondary,100.00800000000001,1,,tram rail_urban rail rail_electric rail_fast ship container cable_car subway aircraft wheelchair scooter drone,664719119.0,0,asphalt,,,,77.49264610119657,129.2829727796538
664719120,1934429446,1934429468,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship container cable_car subway aircraft wheelchair scooter drone,664719120.0,0,,,,,241.82658932174786,71.6076794395168
664719121#0,11476756912,12137418095,2,highway.living_street,10.008,1,emergency authority pedestrian bus bicycle,,664719121.0,0,,,,,50.88806489744416,
664719121#1,12137418095,6321688920,2,highway.living_street,10.008,1,emergency authority pedestrian bus bicycle,,664719121.0,0,,,,,50.88806489744416,150.13867313140167
664719121#2,6321688920,12137418094,2,highway.living_street,10.008,1,emergency authority pedestrian bus bicycle,,664719121.0,0,,,,,50.88806489744416,43.929366167945645
664719125,2556569678,6221953901,1,highway.service,20.016,1,pedestrian delivery bicycle,,664719125.0,0,,,,,186.75677534188446,109.70919685438021
668021814#0,6255651872,3747101393,1,highway.path,20.016,1,pedestrian bicycle,,668021814.0,0,,,,,119.79230085054242,3950.4462170080305
668022179#0,6255378621,6255378628,1,highway.path,20.016,1,pedestrian bicycle,,668022179.0,0,,,,,254.9073284703672,53.185872331209815
668343707,6258697046,3279077628,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship container cable_car subway aircraft wheelchair scooter drone,668343707.0,0,,,,,205.1242657698052,
668343853,6258698335,51420081,1,highway.service,20.016,1,pedestrian delivery bicycle,,668343853.0,0,,,,,222.62637043807752,42.6261660091773
668489029,6260130996,12096676054,1,highway.service,20.016,1,pedestrian delivery bicycle,,668489029.0,0,,,,,80.95785340877153,102.18701742918229
669899510,6273699369,6273699367,1,highway.service,20.016,1,pedestrian delivery bicycle,,669899510.0,0,,,,,,67.59796306259915
669899511,10087032683,6273699370,1,highway.service,20.016,1,pedestrian delivery bicycle,,669899511.0,0,,,,,0.4083242593650592,67.47922691622543
669899514,3216080706,6273701486,1,highway.service,20.016,1,pedestrian delivery bicycle,,669899514.0,0,paving_stones,,,,234.5379155669824,
669899515#0,6273701493,6273701486,1,highway.service,20.016,1,pedestrian delivery bicycle,,669899515.0,0,,,,,334.3864242966208,203.01111445909982
669899515#1,6273701486,6273701487,1,highway.service,20.016,1,pedestrian delivery bicycle,,669899515.0,0,,,,,334.3864242966208,128.92536807150648
674085896#0,6312742086,4314581783,1,highway.path,20.016,1,pedestrian bicycle,,674085896.0,0,,,,,85.96392492980686,333.85684743918017
674085896#1,4314581783,6312742102,1,highway.path,20.016,1,pedestrian bicycle,,674085896.0,0,,,,,85.96392492980686,1403.7028999396541
674085896#2,6312742102,4313073093,1,highway.path,20.016,1,pedestrian bicycle,,674085896.0,0,,,,,85.96392492980686,69.3000019675627
674085897,6312742102,6312742106,1,highway.path,20.016,1,pedestrian bicycle,,674085897.0,0,,,,,138.90073559212146,247.84897307387087
674090339#0,6312783597,6312783601,1,highway.track,20.016,1,pedestrian motorcycle moped bicycle,,674090339.0,0,,,,,13.180238672037058,168.76982494082
674090339#1,6312783601,6312783611,1,highway.track,20.016,1,pedestrian motorcycle moped bicycle,,674090339.0,0,,,,,13.180238672037058,158.59359332910898
674090339#2,6312783611,8514836645,1,highway.track,20.016,1,pedestrian motorcycle moped bicycle,,674090339.0,0,,,,,13.180238672037058,97.27711108923575
674090339#3,8514836645,13076216346,1,highway.track,20.016,1,pedestrian motorcycle moped bicycle,,674090339.0,0,,,,,13.180238672037058,79.63001578153812
674090339#4,13076216346,13076216336,1,highway.track,20.016,1,pedestrian motorcycle moped bicycle,,674090339.0,0,,,,,13.180238672037058,99.96984367192306
674090339#5,13076216336,8514836647,1,highway.track,20.016,1,pedestrian motorcycle moped bicycle,,674090339.0,0,,,,,13.180238672037058,
675025124#0,6321688919,12137418098,1,highway.footway,10.008,1,pedestrian,,675025124.0,0,,,,,310.76277916260017,
675025124#1,12137418098,6321688920,1,highway.footway,10.008,1,pedestrian,,675025124.0,0,,,,,310.76277916260017,
675025126,6221883694,6321688919,1,highway.footway,10.008,1,pedestrian,,675025126.0,0,,,,,300.07034086987574,48.91253794677899
675025128,10098178446,1934179716,1,highway.footway,10.008,1,pedestrian,,675025128.0,0,,,,,187.06705176505432,40.55133475353316
